EventName,EventDate,Id,Category,Price
Cabaret,2024-03-31T14:30:00,39345,General Admission *Standard,$65.00
Cabaret,2024-03-31T14:30:00,39345,General Admission - Wheelchair Accessible *Standard,$65.00
Cabaret,2024-03-30T19:30:00,39344,General Admission *Standard,$65.00
Cabaret,2024-03-30T19:30:00,39344,General Admission - Wheelchair Accessible *Standard,$65.00
Cabaret,2024-03-30T19:30:00,39344,VIP - Wheelchair Accessible *Standard,$85.00
Cabaret,2024-03-29T19:30:00,39343,General Admission *Standard,$65.00
Cabaret,2024-03-29T19:30:00,39343,VIP *Standard,$85.00
Cabaret,2024-03-29T19:30:00,39343,VIP - Wheelchair Accessible *Standard,$85.00
Cabaret,2024-03-28T19:30:00,39342,General Admission *Standard,$65.00
Cabaret,2024-03-28T19:30:00,39342,General Admission - Wheelchair Accessible *Standard,$65.00
Cabaret,2024-03-28T19:30:00,39342,VIP *Standard,$85.00
Cabaret,2024-03-28T19:30:00,39342,VIP - Wheelchair Accessible *Standard,$85.00
Variety Virtuoso Award Presentation: Tom Hiddleston,2024-04-09T19:30:00,41073,Film Admission *Standard,$54.00
Variety Virtuoso Award Presentation: Tom Hiddleston,2024-04-09T19:30:00,41073,Film Admission Accessible Seat *Standard,$54.00
Ezra,2024-04-13T19:00:00,41047,Film Admission *Standard,$34.00
Ezra,2024-04-13T19:00:00,41047,Film Admission Accessible Seat *Standard,$34.00
Mountains,2024-04-07T19:00:00,41046,Film Admission *Standard,$23.00
Mountains,2024-04-07T19:00:00,41046,Film Admission Accessible Seat *Standard,$23.00
Marionetas de la Esquina: Learning and Forgetting,2024-09-28T14:00:00,40405,General Admission *Standard,$30.00
Marionetas de la Esquina: Learning and Forgetting,2024-09-29T11:00:00,40407,General Admission *Standard,$30.00
Marionetas de la Esquina: Learning and Forgetting,2024-09-29T11:00:00,40407,General Admission - Wheelchair Accessible *Standard,$30.00
Marionetas de la Esquina: Learning and Forgetting,2024-09-28T11:00:00,40404,General Admission *Standard,$30.00
Marionetas de la Esquina: Learning and Forgetting,2024-09-28T11:00:00,40404,General Admission - Wheelchair Accessible *Standard,$30.00
Marionetas de la Esquina: Learning and Forgetting,2024-09-29T14:00:00,40408,General Admission *Standard,$30.00
Marionetas de la Esquina: Learning and Forgetting,2024-09-29T14:00:00,40408,General Admission - Wheelchair Accessible *Standard,$30.00
Studio Socials,2024-06-25T20:00:00,40645,RSVP Reservation,$0.00
An Evening With Liz Cheney in Conversation With Ana Navarro,2024-05-22T19:00:00,41127,General Admission - Book Included With Each Ticket,$55.00
An Evening With Liz Cheney in Conversation With Ana Navarro,2024-05-22T19:00:00,41127,General Admission - Book Included With Every Other Ticket (non-book ticket savings will be seen in shopping cart),$55.00
An Evening With Liz Cheney in Conversation With Ana Navarro,2024-05-22T19:00:00,41127,Accessible Seating General Admission - Book Included With Each Ticket,$55.00
An Evening With Liz Cheney in Conversation With Ana Navarro,2024-05-22T19:00:00,41127,Accessible Seating General Admission - Book Included With Every Other Ticket (non-book ticket savings will be seen in shopping cart),$55.00
Cuban Chicken Soup When There's No More Café,2024-05-19T14:30:00,39367,General Admission *Standard,$60.00
Cuban Chicken Soup When There's No More Café,2024-05-19T14:30:00,39367,General Admission - Wheelchair Accessible *Standard,$60.00
Cuban Chicken Soup When There's No More Café,2024-05-17T19:30:00,39364,General Admission *Standard,$60.00
Cuban Chicken Soup When There's No More Café,2024-05-17T19:30:00,39364,General Admission - Wheelchair Accessible *Standard,$60.00
Cuban Chicken Soup When There's No More Café,2024-05-18T14:30:00,39365,General Admission *Standard,$55.00
Cuban Chicken Soup When There's No More Café,2024-05-18T14:30:00,39365,General Admission - Wheelchair Accessible *Standard,$55.00
Cuban Chicken Soup When There's No More Café,2024-05-16T19:30:00,39363,General Admission *Standard,$55.00
Cuban Chicken Soup When There's No More Café,2024-05-16T19:30:00,39363,General Admission - Wheelchair Accessible *Standard,$55.00
